task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	71/37b30b	65022	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:GUNZIP_GTF (Mus_musculus.GRCm38.81.gtf.gz)	COMPLETED	0	2025-09-29 12:42:58.843	5s	3.2s	78.9%	11.1 MB	565.9 MB	26.6 MB	827.5 MB
2	3a/a9c387	65058	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:GTF_TO_TABLE (Mus_musculus)	COMPLETED	0	2025-09-29 12:43:03.916	10.2s	9s	124.1%	685.6 MB	2.7 GB	1.7 GB	23.8 MB
3	26/1f4432	65091	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:VALIDATOR (SRP254919.samplesheet.csv)	COMPLETED	0	2025-09-29 12:43:14.730	11.6s	11s	146.7%	663.6 MB	2.8 GB	101.5 MB	9.6 MB
6	89/4df59d	65140	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_TABULARTOGSEACLS (treatment_mCherry_hND6_)	COMPLETED	0	2025-09-29 12:43:26.337	1.2s	298ms	154.1%	6 MB	284.3 MB	222.2 KB	18.1 KB
7	58/1368ea	65142	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_TABULARTOGSEACLS (treatment_mCherry_hND6_sample_number)	COMPLETED	0	2025-09-29 12:43:26.341	1.3s	305ms	152.4%	6 MB	284.3 MB	222.2 KB	18.1 KB
4	1e/f31e63	65131	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:TABULAR_TO_GSEA_CHIP (1)	COMPLETED	0	2025-09-29 12:43:26.315	2s	1s	98.7%	7.7 MB	293.5 MB	19.2 MB	10.9 MB
5	07/eb1bdc	65195	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_MATRIXFILTER ([id:SRP254919])	COMPLETED	0	2025-09-29 12:43:27.541	1.3s	1s	412.0%	6.3 MB	285.9 MB	5.9 MB	69 KB
9	d8/39f826	65248	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:treatment_mCherry_hND6_, variable:treatment, reference:mCherry, target:hND6, blocking:])	COMPLETED	0	2025-09-29 12:43:29.673	12.7s	12s	129.5%	790.8 MB	2.9 GB	38.8 MB	727 KB
8	fd/86e9f7	65238	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_NORM ([id:treatment_mCherry_hND6_, variable:treatment, reference:mCherry, target:hND6, blocking:])	COMPLETED	0	2025-09-29 12:43:29.656	12.7s	12s	146.4%	776.5 MB	2.9 GB	38.8 MB	727 KB
10	8c/91449e	65239	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:treatment_mCherry_hND6_sample_number, variable:treatment, reference:mCherry, target:hND6, blocking:sample_number])	COMPLETED	0	2025-09-29 12:43:29.664	12.7s	12s	161.1%	799.4 MB	2.9 GB	38.8 MB	766.9 KB
